occupation_pred,BASE_CUSTOMER_ID
13.0,115737
11.0,6562
20.0,144681
10.0,120025
10.0,161201
18.0,15058
15.0,144523
17.0,135695
10.0,138432
11.0,154431
18.0,177393
19.0,117701
11.0,187419
14.0,71518
17.0,177806
19.0,79437
10.0,28260
10.0,136120
18.0,21066
15.0,12985
16.0,12382
13.0,106354
19.0,146288
12.0,155674
20.0,56534
11.0,109609
17.0,30863
22.0,185530
10.0,56069
16.0,94337
17.0,122025
19.0,126827
15.0,123383
10.0,158315
10.0,5380
11.0,44782
14.0,195151
10.0,182078
12.0,129114
12.0,112948
11.0,171815
15.0,140923
19.0,176025
20.0,174778
15.0,38565
13.0,61430
10.0,176821
12.0,163134
13.0,11599
13.0,22628
17.0,188529
9.0,115691
14.0,44418
14.0,37076
11.0,72668
16.0,109387
19.0,87802
14.0,111934
13.0,191486
15.0,194389
19.0,193726
11.0,127186
11.0,134732
13.0,72702
14.0,38855
12.0,83398
11.0,175943
9.0,127199
10.0,2444
12.0,138603
17.0,67827
11.0,117283
14.0,90583
10.0,112864
9.0,193963
11.0,183491
13.0,105174
8.0,85389
15.0,128335
15.0,9259
12.0,123296
12.0,7644
13.0,155950
12.0,156548
12.0,189352
19.0,185801
16.0,43984
16.0,177061
11.0,180711
11.0,70720
15.0,8671
13.0,798
11.0,187997
12.0,162026
11.0,87125
18.0,7672
11.0,187950
11.0,132862
17.0,127004
11.0,110788
21.0,149135
9.0,172363
14.0,86962
11.0,147220
12.0,46319
12.0,171230
17.0,195217
12.0,184303
13.0,13012
12.0,62910
10.0,9848
11.0,23879
11.0,42543
12.0,166107
10.0,64780
11.0,151362
19.0,70703
13.0,19471
13.0,14472
13.0,13344
13.0,109660
18.0,22314
21.0,80835
14.0,185
20.0,151191
15.0,165932
11.0,21162
19.0,136301
12.0,11523
12.0,182962
15.0,107634
18.0,3946
11.0,3436
20.0,24381
14.0,5532
13.0,24417
12.0,22503
21.0,156338
14.0,185307
11.0,139409
16.0,64784
11.0,75750
16.0,34210
24.0,61801
11.0,73089
18.0,67646
12.0,70843
11.0,155451
11.0,185476
11.0,153058
14.0,17807
12.0,139931
16.0,41080
11.0,60041
12.0,5640
11.0,175404
11.0,156731
14.0,143402
13.0,74348
12.0,65117
12.0,158233
13.0,27508
19.0,38234
11.0,170961
18.0,109317
11.0,174794
19.0,33282
13.0,128679
11.0,140296
12.0,61109
13.0,50228
11.0,166513
19.0,114959
12.0,122732
14.0,1802
16.0,46536
13.0,40888
8.0,158989
11.0,187043
17.0,138341
17.0,145597
17.0,138565
11.0,31627
16.0,115271
11.0,28379
11.0,40961
11.0,103401
15.0,104181
14.0,48949
17.0,120139
11.0,157693
15.0,118178
10.0,45808
10.0,184003
15.0,118371
19.0,144065
19.0,24988
11.0,102254
11.0,77391
10.0,118891
11.0,7423
13.0,17136
13.0,165578
14.0,137728
13.0,72844
14.0,176299
12.0,173710
9.0,179802
20.0,163281
15.0,5198
11.0,90300
12.0,155684
13.0,101292
11.0,146454
11.0,26973
8.0,175084
10.0,79045
12.0,153393
12.0,30925
18.0,188848
13.0,92697
11.0,183109
10.0,127610
19.0,188325
17.0,64984
13.0,25723
14.0,165327
13.0,26595
12.0,65182
12.0,37187
16.0,134044
19.0,141765
17.0,155811
17.0,166690
17.0,64019
11.0,113670
11.0,97055
15.0,155250
11.0,179519
12.0,108258
18.0,62417
17.0,143817
11.0,142419
17.0,143365
8.0,147732
13.0,75373
15.0,31622
12.0,65567
11.0,18572
11.0,71455
23.0,141831
13.0,23605
11.0,81215
15.0,26937
16.0,130121
10.0,178655
20.0,195502
17.0,195723
13.0,195326
20.0,170469
15.0,117955
17.0,108605
19.0,22067
10.0,97704
17.0,55713
13.0,22452
21.0,134509
16.0,71954
13.0,12602
8.0,179301
14.0,147801
11.0,3551
14.0,75786
22.0,74045
14.0,123586
18.0,180141
11.0,122285
14.0,128613
17.0,137958
19.0,91995
12.0,123149
10.0,98506
15.0,110238
12.0,177548
11.0,3415
11.0,159074
10.0,7042
21.0,175414
10.0,95434
13.0,57938
22.0,57723
11.0,31567
11.0,137558
12.0,92369
12.0,175779
10.0,170065
12.0,157656
13.0,13147
20.0,178301
10.0,193332
17.0,166891
11.0,166159
12.0,44366
17.0,50914
18.0,154385
11.0,149570
16.0,123889
17.0,186412
11.0,14872
20.0,142056
15.0,144052
12.0,142907
18.0,166874
17.0,22012
11.0,145233
19.0,194243
20.0,111610
8.0,194605
17.0,192329
11.0,148794
20.0,154444
11.0,31131
20.0,130389
11.0,166393
19.0,188118
17.0,190529
12.0,148883
15.0,27617
11.0,80975
14.0,184101
18.0,102854
20.0,31027
11.0,11522
15.0,75102
11.0,170913
16.0,164100
18.0,149604
14.0,40277
13.0,26803
12.0,141830
17.0,147032
12.0,163359
18.0,176946
11.0,99831
15.0,128378
12.0,140785
15.0,165258
13.0,16096
11.0,44793
15.0,155440
18.0,104353
14.0,119499
22.0,154581
11.0,7357
15.0,18409
13.0,43763
14.0,160811
19.0,104981
10.0,18773
18.0,155498
17.0,55032
14.0,53640
14.0,56968
12.0,50213
8.0,178976
21.0,70236
11.0,145356
14.0,32418
12.0,160889
14.0,93178
12.0,84333
14.0,122228
11.0,108739
14.0,23657
12.0,123794
14.0,113831
11.0,152060
10.0,40985
11.0,128277
11.0,21190
12.0,52333
17.0,88198
12.0,96298
13.0,79030
8.0,74874
18.0,62170
21.0,137849
11.0,112494
13.0,18714
15.0,16817
19.0,38099
12.0,139834
12.0,72931
12.0,23152
13.0,112612
11.0,70976
14.0,98503
9.0,60995
18.0,146022
19.0,39933
18.0,171114
11.0,162763
18.0,136842
12.0,41868
11.0,99464
17.0,7347
14.0,134305
22.0,163295
18.0,46065
18.0,124016
10.0,164011
18.0,35066
11.0,135702
14.0,6961
11.0,193464
16.0,139130
12.0,132974
11.0,131758
11.0,184305
12.0,191639
18.0,193781
18.0,41956
20.0,149845
16.0,94450
11.0,27877
13.0,30101
10.0,32338
9.0,14287
18.0,144828
17.0,163613
8.0,121245
19.0,162069
11.0,186726
17.0,133879
13.0,11149
17.0,76439
16.0,133240
15.0,67033
14.0,3921
8.0,111757
11.0,3269
16.0,22331
13.0,42307
20.0,71235
12.0,124539
12.0,189341
13.0,159797
12.0,73122
13.0,37110
10.0,13980
11.0,182545
10.0,46903
11.0,6569
21.0,137142
14.0,137541
11.0,53516
20.0,39751
12.0,39605
10.0,39140
9.0,80958
15.0,5493
17.0,131205
12.0,141022
12.0,137902
15.0,33975
16.0,138681
18.0,137358
10.0,162452
10.0,193194
22.0,33432
9.0,125578
18.0,32517
14.0,7653
21.0,111651
12.0,71527
9.0,77748
11.0,5887
11.0,41533
16.0,117740
12.0,131342
11.0,170800
11.0,170648
11.0,175694
18.0,144468
18.0,144919
18.0,144927
12.0,17940
15.0,111706
12.0,134795
16.0,126490
17.0,92880
10.0,120697
10.0,116658
12.0,188103
15.0,32769
18.0,13075
10.0,90636
17.0,162373
21.0,8522
12.0,146754
11.0,71815
12.0,57273
10.0,60500
9.0,192150
15.0,95318
11.0,185312
13.0,18399
12.0,68743
12.0,133148
10.0,12518
11.0,143764
22.0,134495
19.0,189650
11.0,156887
18.0,128018
12.0,7220
17.0,162036
12.0,15690
13.0,6048
11.0,11650
19.0,13511
18.0,49793
13.0,27962
12.0,9145
16.0,134146
23.0,161852
15.0,25142
11.0,88319
15.0,22973
17.0,87577
18.0,172159
22.0,180861
17.0,105398
14.0,136448
20.0,130963
15.0,62499
13.0,61188
13.0,85130
11.0,179746
10.0,167657
12.0,21532
10.0,176321
15.0,123421
17.0,154630
21.0,44156
21.0,155662
19.0,170070
14.0,155660
16.0,67644
11.0,148015
10.0,170992
22.0,160387
10.0,97023
14.0,105255
10.0,185410
19.0,176162
17.0,116898
20.0,141972
15.0,83265
12.0,36470
11.0,138037
22.0,131291
12.0,60628
11.0,130189
12.0,184184
14.0,89778
11.0,164889
14.0,52964
13.0,1852
10.0,94234
19.0,49419
11.0,84968
11.0,183443
18.0,56238
11.0,146495
20.0,188056
12.0,133613
13.0,10724
10.0,35072
11.0,99751
12.0,8173
12.0,20788
18.0,163299
18.0,164773
18.0,96440
12.0,139915
12.0,37570
15.0,18525
13.0,54251
22.0,187933
11.0,181451
17.0,90715
12.0,102456
17.0,5097
17.0,2681
18.0,45290
19.0,139260
18.0,25882
15.0,142076
11.0,46025
13.0,41709
19.0,133895
11.0,41736
14.0,81160
15.0,13039
22.0,123325
11.0,92084
11.0,98679
15.0,94546
15.0,138529
16.0,118137
11.0,75466
18.0,164534
11.0,73571
11.0,41854
10.0,187786
16.0,43544
14.0,67311
16.0,95140
8.0,67984
22.0,185726
12.0,132849
17.0,127762
17.0,45965
18.0,115569
15.0,141816
11.0,74357
18.0,166775
11.0,23167
11.0,171434
11.0,114402
15.0,26540
21.0,107313
12.0,109075
10.0,75864
11.0,119809
13.0,19861
11.0,43273
11.0,174060
11.0,181210
16.0,50369
19.0,173959
17.0,30155
13.0,30998
10.0,27047
10.0,19421
10.0,147881
18.0,143485
11.0,46531
16.0,116557
12.0,24485
13.0,51157
14.0,175820
17.0,128596
11.0,186082
11.0,168516
18.0,26875
19.0,115911
17.0,11505
10.0,124295
11.0,126471
10.0,77943
21.0,149006
11.0,77490
19.0,86617
11.0,3995
22.0,131073
22.0,186618
18.0,28051
9.0,35632
20.0,16920
12.0,54477
15.0,121154
16.0,123247
15.0,10219
19.0,108408
17.0,147522
14.0,146656
16.0,147929
14.0,62181
11.0,153084
8.0,190045
15.0,112360
12.0,194705
15.0,161653
11.0,196102
11.0,158332
6.0,107640
9.0,111073
17.0,126859
12.0,49894
21.0,168718
16.0,75553
17.0,123828
16.0,72921
13.0,4983
11.0,22885
13.0,121246
13.0,141658
16.0,49502
15.0,195551
9.0,192412
18.0,178588
12.0,133534
10.0,33661
10.0,79306
16.0,72343
14.0,172155
11.0,30034
12.0,128208
12.0,17340
15.0,47174
11.0,34571
11.0,44907
20.0,144276
14.0,195977
11.0,34017
9.0,136310
10.0,165340
12.0,147545
14.0,127240
12.0,144972
18.0,26601
10.0,134071
19.0,180624
11.0,111917
16.0,133833
19.0,85314
11.0,140101
21.0,117838
13.0,81562
11.0,67955
16.0,57193
12.0,153258
13.0,2697
17.0,36322
10.0,15650
17.0,61967
11.0,161250
17.0,195736
12.0,141511
11.0,159136
20.0,139602
18.0,147444
11.0,46790
12.0,112450
12.0,120463
11.0,177775
11.0,23996
12.0,94714
11.0,125923
13.0,80769
11.0,163317
18.0,100760
11.0,99867
13.0,110865
15.0,169099
11.0,90335
12.0,60287
19.0,132090
17.0,168219
11.0,38016
12.0,142553
12.0,139844
17.0,148562
12.0,148932
22.0,183502
18.0,81636
11.0,181401
10.0,188047
11.0,187903
12.0,96647
12.0,157072
11.0,137973
11.0,177486
11.0,155182
11.0,29900
11.0,156171
17.0,138216
12.0,106371
19.0,178514
11.0,178158
15.0,41287
16.0,181587
18.0,178925
12.0,138722
18.0,129936
18.0,174742
13.0,56950
15.0,46780
17.0,65984
8.0,172682
12.0,17760
10.0,13252
9.0,123473
12.0,9890
12.0,156047
11.0,185336
20.0,192948
11.0,156502
11.0,91550
13.0,17275
16.0,25598
12.0,189976
10.0,12219
13.0,101720
12.0,132735
12.0,133094
16.0,163398
10.0,97233
19.0,128533
11.0,102001
13.0,31789
10.0,19413
12.0,145065
11.0,163483
12.0,179243
12.0,120910
10.0,38800
12.0,162343
11.0,101513
18.0,114561
17.0,190398
17.0,144441
14.0,13052
17.0,159880
19.0,166693
11.0,118612
20.0,48020
17.0,169879
13.0,78550
17.0,28458
22.0,139280
11.0,68212
10.0,96103
18.0,114521
8.0,190899
19.0,170015
15.0,125220
11.0,103243
11.0,97201
13.0,14775
14.0,50476
18.0,145914
17.0,181459
18.0,171349
11.0,127916
10.0,174481
19.0,111330
13.0,114012
15.0,163830
17.0,133961
16.0,161777
16.0,128022
17.0,78776
16.0,168359
10.0,177006
12.0,94440
12.0,119234
11.0,47198
16.0,98571
16.0,113888
21.0,82544
12.0,166553
10.0,154049
11.0,78166
14.0,145726
11.0,16539
11.0,340
17.0,141971
16.0,188441
15.0,71399
14.0,38310
9.0,37080
20.0,75005
17.0,46858
10.0,130906
17.0,111329
11.0,45745
15.0,33278
21.0,169098
20.0,155581
14.0,176721
19.0,153187
17.0,136547
16.0,138509
22.0,137283
16.0,25120
11.0,638
11.0,159454
11.0,47413
12.0,162784
11.0,147592
15.0,184850
9.0,182209
11.0,166091
11.0,192355
19.0,109537
17.0,25445
18.0,193944
12.0,144527
12.0,148547
14.0,172863
13.0,144532
11.0,25533
11.0,159246
16.0,27090
10.0,80570
16.0,52498
20.0,184835
10.0,86370
18.0,55096
9.0,166783
16.0,167054
11.0,196508
11.0,161929
10.0,184670
11.0,112679
16.0,10406
10.0,31523
18.0,155510
11.0,158064
13.0,103503
11.0,13744
21.0,134193
19.0,105614
14.0,60544
19.0,126254
9.0,112959
10.0,27646
19.0,127442
21.0,105087
11.0,21243
12.0,85418
12.0,91299
12.0,50268
12.0,146120
12.0,180475
21.0,189473
19.0,191946
7.0,191383
16.0,83883
18.0,143587
11.0,187201
12.0,123073
23.0,161720
11.0,175436
12.0,4540
19.0,143478
11.0,69096
9.0,20754
11.0,55399
19.0,189467
10.0,97998
14.0,12022
18.0,42208
11.0,112915
12.0,175575
10.0,121377
20.0,161911
11.0,188814
16.0,64608
11.0,186620
13.0,1730
12.0,103939
12.0,68485
12.0,121085
16.0,121825
8.0,135258
21.0,56441
11.0,19862
11.0,122568
12.0,126698
20.0,76157
15.0,47257
14.0,108542
15.0,67603
19.0,170225
16.0,140753
14.0,141763
15.0,111411
12.0,172129
12.0,181166
9.0,151254
12.0,56835
11.0,145949
14.0,146931
19.0,185258
18.0,141655
15.0,115399
16.0,113713
11.0,92051
12.0,81385
17.0,114882
11.0,181514
19.0,159719
10.0,180223
14.0,175560
11.0,60339
11.0,159367
13.0,114773
16.0,101284
11.0,185551
12.0,101031
15.0,135620
11.0,181902
20.0,29022
11.0,182726
10.0,172539
19.0,57888
11.0,149182
20.0,135221
21.0,161162
9.0,92446
20.0,44526
13.0,96055
12.0,146869
15.0,47370
9.0,105081
11.0,81614
15.0,105950
10.0,17522
10.0,187674
13.0,69960
11.0,85326
10.0,102239
11.0,119363
12.0,71750
11.0,10013
11.0,171970
19.0,33496
12.0,68210
10.0,8821
8.0,113059
20.0,33693
14.0,4098
12.0,113204
11.0,110993
11.0,66829
14.0,51557
14.0,166797
11.0,129667
11.0,42551
18.0,1287
10.0,151054
14.0,58565
19.0,5445
14.0,108901
12.0,165709
10.0,107989
10.0,128371
15.0,180780
19.0,162835
15.0,108178
11.0,174955
10.0,34113
16.0,105530
10.0,10310
15.0,171920
10.0,3380
18.0,94298
14.0,47393
19.0,114875
12.0,114763
11.0,42642
10.0,141784
11.0,177853
18.0,182436
18.0,193568
16.0,88324
17.0,36615
13.0,94422
14.0,152080
17.0,146240
18.0,9565
21.0,150828
7.0,39047
11.0,50190
15.0,121680
11.0,163067
16.0,10910
11.0,120937
11.0,95527
17.0,119463
23.0,149230
18.0,185425
15.0,168870
16.0,179295
21.0,8600
15.0,73465
16.0,99537
12.0,73588
12.0,126192
11.0,157055
10.0,30982
12.0,50829
14.0,103544
11.0,183064
12.0,141013
11.0,62366
13.0,120289
13.0,111692
10.0,20680
10.0,96366
11.0,58255
11.0,136621
11.0,92397
19.0,57108
14.0,44421
16.0,44550
21.0,137928
20.0,124038
13.0,18366
16.0,145334
11.0,41676
18.0,9250
12.0,95232
16.0,170953
11.0,26624
22.0,178027
18.0,99574
16.0,127819
10.0,149299
17.0,68290
10.0,185177
10.0,60300
11.0,26586
10.0,194424
13.0,27558
14.0,25662
11.0,49372
13.0,179043
13.0,26995
19.0,60985
15.0,46485
12.0,120667
8.0,61291
11.0,37794
16.0,86098
13.0,24540
9.0,110869
14.0,11117
21.0,165750
15.0,166756
10.0,105909
9.0,8871
11.0,13850
10.0,45289
11.0,118381
16.0,52794
11.0,185013
12.0,42556
22.0,189730
18.0,111897
12.0,15738
11.0,75106
11.0,153668
14.0,83256
13.0,14551
16.0,85811
17.0,27122
17.0,2594
10.0,178255
10.0,176934
11.0,40226
11.0,19562
12.0,145230
17.0,185245
11.0,162886
11.0,174704
12.0,65876
8.0,42066
13.0,82306
19.0,138649
16.0,69073
12.0,68161
11.0,18109
12.0,126580
19.0,122668
13.0,117636
12.0,176533
19.0,124447
14.0,37006
11.0,11296
16.0,174912
10.0,185618
11.0,5179
11.0,14687
13.0,60760
12.0,48730
11.0,107810
16.0,140719
12.0,39737
12.0,18338
12.0,176367
18.0,104994
10.0,22130
18.0,57426
18.0,133306
14.0,81067
14.0,189627
12.0,146803
22.0,149539
18.0,63077
17.0,58758
21.0,68858
11.0,194945
15.0,51912
11.0,184604
20.0,143567
17.0,156478
10.0,107971
20.0,50557
12.0,188610
11.0,117070
15.0,174959
11.0,162000
15.0,191685
18.0,193715
12.0,190127
15.0,194769
17.0,98834
17.0,157516
21.0,123282
11.0,166755
11.0,20626
11.0,48413
11.0,143963
12.0,114010
15.0,77218
21.0,69926
11.0,68751
14.0,12443
10.0,84855
11.0,92712
10.0,123459
18.0,132937
16.0,32075
12.0,11188
20.0,127259
23.0,127059
13.0,37044
14.0,75879
10.0,110451
21.0,71040
11.0,73683
11.0,117939
10.0,144932
17.0,172085
17.0,188817
21.0,48835
11.0,44402
19.0,157582
13.0,123624
11.0,18590
11.0,102968
19.0,166348
20.0,133661
11.0,190296
17.0,194814
15.0,169599
14.0,6501
13.0,14306
11.0,10332
13.0,87189
17.0,122500
15.0,39473
18.0,170370
13.0,6628
16.0,168155
12.0,153101
16.0,23089
14.0,170477
11.0,93098
10.0,37047
16.0,37114
11.0,181837
21.0,84527
12.0,158228
10.0,194152
12.0,194227
15.0,191653
20.0,195105
10.0,154840
13.0,122642
14.0,107451
17.0,94172
13.0,67597
19.0,180518
12.0,82243
10.0,33511
12.0,127378
15.0,190972
19.0,191137
11.0,187514
15.0,117671
16.0,135201
15.0,4467
16.0,86334
16.0,108202
9.0,7947
14.0,176782
11.0,171423
11.0,163674
12.0,126433
12.0,146800
16.0,122158
19.0,120362
12.0,38741
20.0,149827
17.0,74648
17.0,165554
12.0,151279
13.0,122215
13.0,64764
10.0,187854
15.0,160545
19.0,63133
12.0,93025
15.0,185790
18.0,30941
11.0,91104
12.0,100493
10.0,33266
11.0,53611
11.0,176324
11.0,171665
17.0,190282
16.0,7477
12.0,50475
19.0,78756
11.0,144899
15.0,141028
13.0,121027
18.0,187311
17.0,61993
12.0,32830
17.0,53542
22.0,162397
15.0,87643
15.0,119218
18.0,150667
17.0,64055
19.0,120920
22.0,68737
22.0,17904
17.0,10253
17.0,13056
11.0,124885
11.0,184390
10.0,17338
11.0,18740
18.0,115468
12.0,72974
9.0,193165
22.0,138734
12.0,85972
16.0,52624
22.0,67759
15.0,148196
16.0,23418
10.0,120316
11.0,182632
13.0,21912
12.0,46341
21.0,127587
16.0,154419
16.0,140472
11.0,54115
12.0,70797
22.0,108346
14.0,132348
19.0,183323
15.0,182603
15.0,9644
12.0,135487
11.0,185104
10.0,44397
13.0,13479
19.0,23877
15.0,131679
11.0,113458
10.0,12119
18.0,75654
19.0,47387
20.0,141199
20.0,144200
12.0,181533
10.0,30510
9.0,61655
15.0,99493
7.0,5461
17.0,61678
12.0,262
11.0,152998
11.0,141285
11.0,188121
18.0,77701
19.0,153673
20.0,121897
11.0,151958
12.0,110821
12.0,63153
12.0,176242
15.0,7534
12.0,63149
21.0,119428
12.0,168810
11.0,76826
10.0,85973
16.0,120058
11.0,115557
15.0,53636
10.0,194686
11.0,74602
10.0,177398
12.0,69410
20.0,135588
14.0,51029
19.0,158924
17.0,113857
17.0,93770
18.0,186914
12.0,129767
20.0,66245
16.0,30830
11.0,112926
11.0,63828
11.0,175558
11.0,182180
12.0,183032
11.0,11017
18.0,19166
19.0,139289
18.0,4658
13.0,12885
14.0,185271
12.0,98132
11.0,29248
18.0,162551
10.0,84780
18.0,125586
11.0,113006
11.0,22013
12.0,146678
11.0,153284
10.0,51174
12.0,33120
12.0,67333
18.0,153937
14.0,150178
12.0,110858
11.0,184584
10.0,126150
11.0,105633
13.0,15626
11.0,148358
11.0,71827
13.0,5656
10.0,182315
18.0,61703
18.0,65972
14.0,33548
14.0,42460
17.0,75085
15.0,173316
11.0,72602
20.0,44970
12.0,185489
13.0,89349
17.0,40601
11.0,36375
19.0,68332
18.0,121302
18.0,80346
14.0,73620
19.0,24307
13.0,16746
11.0,188502
11.0,186789
19.0,5800
13.0,112227
18.0,95311
11.0,5392
9.0,58471
12.0,9372
21.0,176763
18.0,167464
11.0,144952
18.0,60173
10.0,42342
13.0,43396
13.0,13494
15.0,134773
19.0,46203
16.0,32992
17.0,35167
9.0,38342
18.0,132885
17.0,142966
12.0,71557
16.0,15170
18.0,23062
11.0,125276
20.0,130642
14.0,76643
14.0,69161
18.0,147021
11.0,4347
11.0,103619
14.0,74016
12.0,50434
15.0,7184
11.0,23078
11.0,61214
13.0,30531
9.0,57737
9.0,80359
11.0,194621
12.0,162442
18.0,170785
13.0,47112
14.0,1206
12.0,118184
15.0,26434
17.0,9583
17.0,49606
17.0,161391
17.0,65775
16.0,70870
17.0,149769
11.0,143992
18.0,106095
18.0,171739
18.0,168715
17.0,185821
11.0,64902
11.0,166605
17.0,160022
11.0,67897
11.0,173446
11.0,101612
11.0,190004
15.0,25153
11.0,150263
13.0,28447
11.0,174465
10.0,80936
10.0,108090
11.0,132184
19.0,156769
17.0,172308
19.0,161518
