,BASE_CUSTOMER_ID,BIRTHDAY_Y
1432,108739,1959
1435,123794,1959
1437,152060,1959
1442,40985,1959
1444,128277,1959
1445,21190,1959
1450,96298,1959
1454,79030,1959
1471,72931,1959
1473,112612,1959
1475,70976,1959
1485,162763,1959
1488,41868,1959
1492,33536,1959
1504,121817,1959
1505,164011,1959
1507,135702,1959
1517,131758,1959
1531,162990,1959
1533,27877,1959
1534,30101,1959
1549,121245,1958
1551,186726,1959
1564,111757,1958
1565,3269,1959
1571,42307,1959
1576,189341,1959
1580,73122,1959
1581,37110,1959
1583,13980,1959
1584,182545,1959
1586,46903,1959
1587,6569,1959
1592,53516,1959
1598,39140,1959
1599,80958,1958
1600,5493,1966
1604,141022,1959
1607,137902,1959
1613,162452,1959
1614,193194,1959
1619,125578,1958
1628,30270,1973
1632,5887,1958
1637,41533,1959
1644,170800,1959
1645,170648,1959
1646,175694,1959
1651,17940,1959
1661,120697,1959
1662,116658,1959
1663,188103,1959
1669,90636,1959
1678,146754,1959
1679,71815,1959
1680,57273,1959
1686,185312,1959
1689,68743,1959
1690,133148,1959
1692,143764,1959
1697,156887,1959
1701,7220,1959
1711,11650,1959
1742,179746,1959
1747,176321,1959
1757,148015,1959
1759,170992,1959
1768,185410,1959
1777,138037,1959
1783,60628,1959
1784,130189,1959
1786,184184,1959
1793,164889,1959
1796,94234,1959
1797,49419,1973
1798,84968,1959
1802,183443,1959
1807,146495,1959
1810,133613,1959
1815,10724,1959
1817,99751,1959
1819,20788,1959
1824,139915,1959
1828,37570,1959
1839,181451,1959
1856,46025,1959
1865,92084,1959
1866,98679,1959
1873,75466,1959
1878,41854,1959
1880,187786,1959
1883,43544,1966
1891,67984,1958
1895,132849,1959
1909,74357,1959
1911,23167,1959
1916,171434,1959
1917,114402,1959
1922,75864,1959
1925,119809,1959
1933,43273,1959
1934,174060,1959
1938,181210,1959
1943,30998,1959
1945,27047,1958
1946,19421,1959
1947,147881,1959
1951,24485,1959
1959,186082,1959
1960,168516,1959
1967,124295,1959
1968,24229,1959
1969,126471,1959
1970,77943,1959
1978,77490,1959
1995,54477,1959
2009,23112,1966
2019,154099,1959
2020,196102,1959
2021,158332,1959
2026,111073,1958
2030,49894,1959
2041,67214,1965
2042,4983,1959
2044,22885,1959
2045,121246,1959
2054,192412,1958
2058,33661,1959
2059,79306,1959
2063,30034,1959
2076,44907,1959
2084,34017,1959
2085,136310,1958
2086,165340,1959
2087,147545,1959
2089,144972,1959
2094,111917,1959
2103,188217,1959
2106,140101,1959
2109,81562,1959
2111,67955,1959
2115,153258,1959
2118,2697,1959
2119,25669,1959
2125,12861,1959
2130,161250,1959
2133,141511,1959
2135,159136,1959
2139,46790,1959
2142,112450,1959
2146,177775,1959
2148,23996,1959
2151,94714,1959
2158,163317,1959
2165,90335,1959
2166,60287,1959
2169,38016,1959
2170,142553,1959
2171,139844,1959
2177,181401,1959
2178,188047,1959
2179,187903,1959
2181,96647,1959
2182,157072,1959
2183,137973,1959
2184,177486,1959
2185,155182,1959
2194,178158,1959
2204,56950,1959
2208,172682,1958
2214,17760,1959
2215,13252,1959
2218,123473,1958
2219,9890,1959
2220,156047,1959
2223,185336,1959
2225,156502,1959
2226,91550,1959
2229,29399,1959
2231,17275,1959
2235,12219,1958
2238,132735,1959
2243,102001,1959
2244,31789,1959
2245,19413,1959
2247,163483,1959
2248,179243,1959
2249,120910,1959
2251,38800,1959
2252,162343,1959
2266,118612,1959
2270,78550,1959
2278,96103,1959
2286,190899,1958
2289,103243,1959
2293,14775,1959
2308,127916,1959
2309,174481,1959
2325,177006,1959
2327,94440,1959
2330,119234,1959
2332,47198,1959
2339,166553,1959
2341,154049,1958
2342,78166,1959
2344,16539,1959
2353,37080,1958
2360,175304,1959
2362,130906,1958
2364,45745,1959
2382,638,1959
2384,159454,1959
2387,47413,1959
2389,162784,1959
2390,147592,1959
2392,182209,1958
2393,166091,1959
2405,144527,1959
2406,148547,1959
2412,25533,1959
2414,159246,1959
2416,80570,1959
2423,86370,1959
2431,184670,1959
2432,112679,1959
2438,31523,1958
2444,158064,1959
2452,105614,1973
2463,27646,1958
2471,21243,1958
2473,85418,1959
2474,144726,1958
2478,50268,1959
2479,146120,1959
2480,180475,1959
2485,191383,1958
2489,187201,1959
2490,123073,1959
2493,175436,1959
2498,69096,1959
2501,55399,1959
2515,175575,1959
2518,121377,1959
2521,188814,1959
2524,186620,1959
2526,103939,1959
2531,121085,1959
2535,135258,1958
2538,19862,1959
2539,122568,1959
2540,126698,1959
2556,172129,1959
2557,181166,1959
2558,151254,1958
2560,145949,1959
2571,81385,1959
2574,181514,1959
2581,60339,1959
2582,159367,1959
2586,185551,1959
2588,101031,1959
2591,181902,1959
2595,182726,1959
2598,172539,1959
2601,149182,1959
2620,105081,1958
2626,17522,1959
2627,187674,1959
2634,102239,1959
2637,119363,1959
2639,10013,1959
2640,171970,1959
2649,113059,1958
2652,113204,1959
2654,110993,1959
2656,66829,1959
2661,42551,1959
2671,151054,1959
2677,165709,1959
2680,107989,1959
2681,128371,1958
2687,174955,1959
2689,34113,1959
2691,10310,1959
2708,141784,1959
2709,177853,1959
2717,94422,1959
2732,50190,1959
2736,163067,1959
2738,120937,1959
2739,95527,1959
2752,73588,1959
2754,126192,1959
2756,157055,1959
2758,30982,1958
2759,50829,1959
2764,183064,1959
2765,141013,1959
2772,62366,1959
2776,111692,1959
2780,20680,1959
2781,96366,1959
2783,136621,1959
2790,129867,1959
2805,18366,1959
2807,41676,1959
2812,95232,1959
2815,26624,1959
2821,149299,1959
2824,185177,1959
2825,60300,1959
2826,26586,1959
2830,194424,1959
2833,27558,1959
2844,49372,1959
2851,120667,1959
2852,61291,1958
2863,110869,1958
2869,105909,1959
2873,13850,1959
2875,45289,1959
2877,118381,1959
2880,185013,1959
2888,75106,1959
2889,153668,1959
2892,14551,1959
2894,27122,1972
2898,178255,1959
2899,176934,1959
2904,145230,1959
2906,162886,1959
2907,174704,1959
2908,65876,1959
2923,18109,1959
2925,126580,1959
2929,176533,1959
2933,11296,1959
2937,185618,1959
2938,5179,1959
2939,14687,1959
2940,60760,1959
2942,107810,1959
2960,146803,1959
2967,194945,1959
2969,184604,1959
2975,107971,1958
2981,188610,1959
2982,117070,1959
2995,166755,1959
2996,20626,1959
2997,48413,1959
3001,143963,1959
3004,114010,1959
3016,84855,1958
3017,92712,1959
3020,123459,1959
3027,11188,1959
3038,110451,1958
3041,73683,1959
3042,117939,1959
3045,144932,1959
3052,123624,1959
3055,102968,1959
3065,14306,1959
3066,10332,1959
3067,87189,1959
3077,6628,1959
3087,93098,1959
3093,181837,1959
3095,158228,1959
3101,194227,1959
3104,154840,1959
3112,82243,1959
3113,33511,1958
3115,127378,1959
3119,187514,1959
3128,7947,1958
3130,171423,1959
3131,163674,1959
3132,126433,1959
3133,146800,1959
3137,38741,1959
3143,151279,1959
3146,187854,1959
3159,91104,1959
3167,100493,1959
3168,33266,1959
3169,53611,1959
3170,176324,1959
3172,171665,1959
3175,50475,1959
3187,121027,1959
3196,32830,1959
3211,124885,1959
3212,184390,1959
3214,17338,1958
3217,18740,1959
3221,193165,1958
3224,85972,1959
3231,120316,1959
3232,182632,1959
3233,21912,1959
3234,46341,1959
3247,54115,1959
3263,185104,1959
3264,44397,1959
3265,13479,1959
3269,113458,1959
3272,12119,1958
3282,30510,1959
3295,152998,1959
3297,141285,1959
3298,188121,1959
3309,151958,1959
3310,110821,1959
3313,176242,1959
3317,63149,1959
3323,76826,1959
3324,85973,1959
3326,115557,1959
3329,194686,1959
3330,74602,1959
3331,177398,1959
3340,129767,1959
3350,112926,1959
3355,63828,1959
3357,175558,1959
3358,182180,1959
3359,183032,1959
3360,11017,1958
3372,29248,1959
3374,148190,1959
3380,113006,1959
3381,22013,1959
3382,146678,1959
3383,153284,1959
3384,51174,1958
3385,33120,1959
3386,67333,1959
3391,184584,1959
3392,126150,1959
3394,105633,1959
3398,148358,1959
3399,71827,1959
3402,5656,1959
3405,182315,1959
3417,72602,1959
3422,185489,1959
3423,89349,1959
3430,36375,1959
3446,16746,1959
3448,146676,1959
3450,188502,1959
3457,186789,1959
3464,112227,1959
3474,5392,1959
3487,144952,1959
3492,13494,1959
3505,71557,1959
3526,4347,1959
3528,103619,1959
3535,50434,1959
3539,23078,1959
3543,57737,1958
3546,80359,1958
3547,194621,1959
3551,162442,1959
3557,118184,1959
3575,143992,1959
3581,64902,1959
3582,166605,1959
3585,67897,1959
3586,173446,1959
3588,190004,1959
3590,150263,1959
3591,28447,1959
3592,174465,1959
3593,80936,1959
3594,108090,1959
3595,132184,1959
3602,156569,1959
3603,10190,1959
3610,111366,1958
3612,180163,1959
3619,3191,1959
3620,27372,1959
3626,128691,1959
3630,175600,1958
3632,35135,1959
3636,171549,1959
3640,183760,1959
3645,131787,1959
3647,122464,1959
3650,98438,1959
3654,180267,1959
3664,101150,1959
3665,88846,1959
3669,42972,1958
3673,181971,1959
3681,178862,1959
3682,49109,1959
3683,177114,1959
3685,112440,1959
3686,183222,1959
3691,25472,1959
3699,4141,1959
3725,54123,1959
3726,183769,1959
3735,174592,1959
3738,145194,1959
3748,78180,1959
3750,100744,1959
3756,39812,1959
3760,11897,1959
3763,21715,1959
3765,177843,1959
3766,176958,1958
3767,188713,1959
3768,105386,1958
3776,115521,1959
3789,177132,1959
3791,70467,1959
3797,115665,1959
3798,69804,1959
3800,128704,1959
3802,184016,1959
3804,103658,1959
3810,186614,1959
3811,175013,1959
3826,67119,1966
3829,98311,1959
3834,163990,1959
3836,181987,1959
3837,119042,1959
3843,103999,1959
3846,87554,1959
3851,14335,1959
3852,162185,1959
3858,29319,1958
3863,78188,1958
3865,42061,1959
3868,144332,1959
3869,89882,1959
3884,98041,1959
3888,192197,1959
3889,47423,1959
3893,12447,1959
3896,32673,1959
3897,9158,1959
3903,23986,1959
3905,116884,1959
3907,145388,1959
3913,155709,1959
3915,147054,1959
3922,153885,1959
3928,126094,1959
3936,140710,1959
3939,40894,1958
3942,90915,1959
3943,188858,1959
3947,54944,1959
3949,184443,1959
3951,137670,1959
3952,130565,1959
3953,159278,1959
3954,21073,1959
3956,184928,1959
3958,170868,1959
3966,190785,1959
3968,147114,1959
3975,160936,1959
3988,193811,1959
3989,93650,1959
3991,77660,1959
3997,37412,1959
4000,40829,1958
4002,55748,1959
4004,74941,1958
4009,174081,1959
4027,160988,1959
4028,49582,1959
4036,158656,1959
4057,173575,1959
4077,140431,1959
4079,180063,1959
4089,48671,1958
4097,22604,1958
4098,24560,1959
4109,45238,1959
4114,69954,1959
4116,8201,1959
4119,59335,1959
4127,94629,1959
4132,4733,1959
4138,168855,1959
4139,19721,1959
4140,58004,1958
4150,76462,1959
4152,19694,1959
4164,21905,1958
4174,87437,1959
4176,55704,1959
4177,38466,1959
4187,193750,1959
4189,104866,1959
4192,108984,1959
4194,12615,1959
4196,70553,1959
4202,189317,1959
4204,122829,1959
4206,181965,1959
4210,179160,1958
4222,136078,1959
4226,134720,1959
4227,101945,1959
4234,137685,1959
4239,44145,1959
4241,143831,1959
4243,6176,1959
4249,156552,1959
4250,127022,1966
4256,129974,1959
4264,177509,1959
4274,103572,1959
4276,36544,1959
4290,141614,1959
4293,99712,1959
4295,35718,1959
4298,36203,1959
4300,152123,1959
4304,13872,1959
4310,14320,1959
4313,10028,1959
4314,190519,1959
4320,48736,1959
4323,82999,1959
4324,173983,1959
4327,187728,1959
4331,133817,1959
4332,193902,1959
4336,181286,1959
4342,147674,1959
4349,77459,1959
4351,4619,1959
4360,27870,1959
4361,101716,1959
4368,29301,1959
4370,76707,1959
4380,117461,1959
4386,71613,1958
4387,92786,1959
4400,71161,1959
4410,95195,1959
4419,46841,1959
4421,132023,1959
4426,159740,1958
4432,191794,1959
4449,164851,1959
4458,66035,1959
4460,8379,1959
4472,130240,1959
4485,160891,1959
4488,53005,1959
4489,171813,1959
4490,173550,1959
4496,27861,1966
4499,174382,1959
4505,10430,1959
4507,74494,1959
4509,20689,1959
4511,132130,1959
4514,22796,1959
4515,70035,1959
4517,64588,1959
4518,152214,1959
4526,35646,1959
4534,160139,1966
4541,122889,1959
4548,33681,1959
4549,185259,1959
4552,92821,1959
4554,42969,1959
4562,148302,1959
4563,38534,1959
4576,64251,1958
4602,23037,1959
4603,123915,1959
4606,178016,1959
4615,131222,1959
4617,128434,1959
4622,17691,1958
4624,196095,1959
4625,141731,1959
4626,72883,1959
4627,75114,1958
4628,155343,1959
4633,175747,1959
4643,167253,1959
4644,104862,1958
4657,188171,1959
4659,89278,1958
4660,175804,1959
4661,175850,1959
4663,56307,1959
4664,143585,1959
4670,108153,1959
4673,91443,1959
4674,48819,1958
4681,193313,1959
4688,96787,1959
4691,70784,1959
4696,66550,1958
4701,167980,1959
4705,118333,1959
4716,127112,1959
4718,170776,1959
4725,68864,1959
4731,133500,1959
4735,20861,1959
4740,110292,1959
4755,152831,1959
4771,163356,1959
4776,89868,1959
4778,128064,1959
4780,9979,1959
4783,11969,1959
4787,152351,1958
4789,4643,1959
4794,23911,1959
4806,145976,1959
4811,99292,1959
4812,188390,1959
4814,49706,1959
4816,92285,1959
4819,176115,1958
4820,174305,1959
4825,191066,1959
4843,133822,1959
4846,154706,1959
4847,23845,1959
4849,192410,1959
4858,28925,1958
4879,164350,1959
4886,169985,1959
4914,97904,1959
4915,150583,1959
4922,140787,1959
4928,83230,1959
4931,114112,1959
4932,181080,1959
4946,19863,1958
4948,11548,1959
4949,157711,1959
4954,143511,1959
4955,150529,1959
4958,179502,1959
4960,176428,1959
4970,165652,1959
4971,186569,1959
4972,144312,1959
4974,57249,1959
4979,164648,1959
4981,49691,1959
4982,1108,1959
4984,124922,1959
4995,109417,1959
4996,26033,1959
5004,3287,1959
5005,140718,1959
5013,88172,1959
5021,185643,1959
5026,186478,1959
5029,68549,1966
5030,150499,1959
5031,191461,1959
5032,163803,1959
5034,135916,1958
5038,123020,1959
5052,45502,1959
5057,163482,1959
5059,21952,1959
5060,136203,1959
5061,72827,1959
5064,182041,1959
5065,62444,1959
5067,129100,1959
5069,116137,1958
5071,74156,1959
5073,172214,1959
5079,155776,1959
5093,122814,1959
5095,41226,1959
5096,124230,1959
5100,159267,1958
5101,139392,1959
5106,181950,1959
5107,56398,1959
5110,48207,1966
5115,123959,1959
5116,108584,1958
5118,128266,1959
5120,165219,1959
5122,167592,1959
5123,76063,1959
5129,67112,1966
5131,90301,1959
5135,188778,1959
5144,140448,1959
5145,114833,1958
5146,103086,1959
5150,130152,1959
5155,134012,1959
5157,164955,1959
5158,60690,1959
5161,183331,1959
5166,39034,1959
5168,20944,1959
5175,177532,1959
5176,122560,1959
5177,41780,1959
5178,45797,1965
5180,187168,1959
5184,96612,1959
5190,183890,1959
5192,177931,1959
5196,164577,1959
5201,30855,1959
5204,26119,1959
5209,27287,1959
5219,47913,1959
5229,175800,1959
5230,13142,1959
5231,19659,1959
5234,92160,1959
5235,167845,1959
5241,150092,1959
5242,21629,1959
5252,183383,1959
5259,141499,1959
5265,113569,1958
5267,147438,1958
5268,148628,1959
5269,42999,1959
5274,97502,1959
5283,179795,1959
5285,182539,1959
5288,165360,1959
5295,108842,1959
5301,126549,1959
5302,112176,1959
5303,30765,1959
5309,97537,1959
5318,174661,1959
5327,88587,1959
5328,118506,1959
5329,16038,1959
5332,142259,1959
5333,122428,1959
5334,37334,1959
5340,57292,1959
5349,32556,1959
5352,188698,1959
5354,173631,1959
5359,169112,1959
5368,124039,1959
5372,42634,1959
5378,122555,1959
5387,84752,1959
5394,111465,1959
5397,108299,1959
5398,141908,1959
5399,4756,1959
5401,117117,1959
5404,118669,1959
5405,39608,1959
5411,158018,1958
5416,22528,1958
5418,100386,1959
5422,38774,1959
5427,129646,1959
5434,171598,1959
5438,36936,1959
5439,53118,1959
5444,33892,1959
5451,135597,1959
5456,144748,1959
5464,104603,1959
5469,82083,1959
5470,141167,1959
5474,142221,1959
5475,154961,1959
5476,183572,1959
5478,4412,1959
5483,125903,1959
5487,25178,1959
5488,176442,1958
5489,139054,1959
5499,13177,1959
5502,184940,1959
5507,144113,1959
5508,145540,1959
5509,181840,1959
5510,18716,1959
5524,50827,1959
5533,48513,1959
5541,182202,1959
5543,115448,1959
5544,5425,1959
5546,176141,1966
5547,173393,1958
5551,56692,1959
5560,131126,1959
5563,126542,1959
5565,15680,1959
5568,117453,1959
5570,55148,1959
5571,173139,1958
5572,166551,1959
5573,167033,1959
5576,116687,1959
5579,149942,1959
5586,48605,1959
5589,186454,1959
5595,150325,1959
5596,19211,1959
5600,221,1959
5601,175578,1959
5603,14966,1959
5611,61170,1959
5614,136281,1959
5620,145117,1959
5623,69619,1959
5637,105560,1959
5642,135891,1959
5644,8349,1959
5659,106854,1959
5661,175538,1959
5666,168937,1959
5669,185533,1959
5672,3431,1959
5675,187943,1959
5676,25420,1959
5686,171309,1959
5688,8319,1958
5689,5667,1958
5697,162891,1959
5701,189110,1959
5707,121002,1959
5708,191598,1959
5709,180874,1959
5712,56561,1959
5717,86647,1959
5719,150039,1959
5722,100880,1959
5724,87901,1959
5739,51915,1959
5742,107129,1959
5744,41272,1959
5746,181693,1959
5747,52085,1959
5749,119528,1959
5759,163486,1959
5760,146192,1959
5762,44084,1959
5769,14677,1959
5789,781,1958
5790,24283,1959
5795,129434,1959
5799,35272,1959
5800,183858,1959
5803,101806,1959
5804,49125,1959
5805,163867,1959
5808,134518,1959
5809,173463,1959
5810,110908,1959
5816,191115,1959
5844,138503,1959
5846,26276,1959
5860,24970,1959
5869,179432,1959
5871,75666,1959
5872,136280,1959
5873,188199,1959
5874,43672,1959
5881,174388,1959
5889,154244,1959
5892,13011,1959
5900,96942,1959
5902,155046,1959
5903,45983,1959
5904,101308,1959
5905,129577,1959
5908,25170,1958
5909,22262,1959
5919,141191,1959
5921,42130,1959
5922,8452,1959
5929,16477,1959
5930,182657,1959
5932,18562,1959
5934,147436,1959
5939,129848,1959
5941,186383,1959
5942,102790,1959
5944,176042,1959
5945,150642,1959
5949,183781,1959
5950,159386,1959
5955,45723,1959
5956,49486,1959
5958,177702,1959
5959,145780,1959
5960,162838,1959
5964,3963,1959
5968,173351,1959
5980,162081,1959
5982,8394,1959
5995,129033,1959
5998,67618,1959
6001,156177,1959
6008,185419,1959
6009,108219,1959
6016,117814,1959
6019,97061,1959
6026,27306,1965
6028,11521,1959
6034,26466,1959
6036,8449,1959
6040,144398,1959
6048,183960,1959
6056,32822,1959
6057,44620,1959
6058,20772,1959
6066,43280,1959
6068,166208,1959
6073,182649,1959
6079,159323,1959
6081,167660,1959
6087,154746,1959
6091,66230,1959
6099,152841,1959
6103,174478,1959
6106,31725,1958
6111,135500,1959
6114,136158,1959
6115,26085,1959
6116,126275,1959
6148,2508,1959
6149,194939,1959
6151,122211,1959
6152,156943,1959
6162,162737,1959
6172,105092,1959
6175,7130,1959
6179,67092,1959
6180,128804,1959
6183,96296,1959
6190,188002,1959
6202,66927,1959
6203,8591,1959
6212,35697,1959
6213,176397,1959
6219,88757,1959
6220,19629,1958
6221,87547,1959
6223,175619,1959
6224,137830,1959
6236,177668,1959
6242,119415,1959
6247,27732,1959
6254,175000,1959
6258,156219,1959
6260,21902,1959
6270,184090,1959
6275,188229,1959
6280,13284,1959
6282,96678,1959
6286,95683,1959
6287,66710,1958
6288,143895,1959
6295,27498,1959
6297,55004,1959
6301,30807,1959
6304,56470,1958
6306,32328,1959
6311,158911,1959
6315,180908,1959
6318,182516,1959
6319,120949,1959
6320,176455,1959
6324,139401,1959
6325,95607,1959
6327,42927,1958
6332,151570,1959
6334,176744,1959
6337,20930,1959
6350,131500,1959
6359,3892,1959
6368,153382,1959
6370,115701,1959
6376,179851,1959
6381,157216,1959
6382,132468,1959
6383,184359,1959
6388,92266,1958
6393,91592,1959
6396,140978,1959
6409,147661,1959
6411,124830,1959
6430,176280,1959
6435,59074,1959
6437,122439,1959
6443,53628,1959
6448,21511,1958
6450,61164,1958
6451,31710,1959
6459,105118,1959
6461,107908,1959
6471,140228,1959
6477,122266,1959
6478,187137,1959
6488,108554,1959
6494,164570,1959
6497,38759,1959
6499,48329,1959
6505,115302,1959
6510,1648,1959
6512,184945,1959
6514,175764,1959
6518,27569,1959
6522,176132,1959
6523,108437,1959
6525,190744,1959
6526,41714,1966
6547,174469,1959
6548,116690,1959
6551,185276,1959
6552,127260,1959
6554,143563,1959
6555,194407,1958
6559,37159,1958
6565,8968,1959
6566,48545,1973
6567,62541,1959
6569,35956,1959
6572,37726,1959
6579,37843,1959
6580,87388,1959
6582,151994,1959
6583,55911,1959
6587,167459,1959
6589,38038,1966
6598,72584,1959
6604,111279,1959
6606,184883,1959
6614,173791,1959
6618,177298,1959
6620,187743,1959
6621,166104,1959
6624,193080,1958
6628,187634,1958
6629,17551,1959
6646,38958,1959
6654,14457,1959
6656,179228,1959
6658,132686,1959
6661,177302,1959
6662,178399,1959
6666,177528,1959
6667,152445,1959
6668,161983,1959
6676,143901,1959
6681,30210,1959
6683,150506,1959
6690,107593,1966
6700,174737,1959
6704,136798,1958
6705,102564,1959
6715,177201,1959
6722,171531,1959
6725,75244,1959
6726,97134,1959
6729,41037,1959
6739,32102,1959
6766,92301,1959
6773,46625,1959
6779,64353,1959
6780,140175,1959
6781,178289,1959
6784,138100,1959
6789,177703,1959
6793,86868,1959
6800,156542,1959
6820,4014,1959
6830,176789,1959
6833,139745,1959
6841,138099,1959
6843,55314,1959
6844,9908,1959
6847,178060,1959
6855,39943,1959
6856,111174,1959
6857,170162,1959
6860,91126,1959
6863,141326,1958
6867,186925,1959
6869,119007,1959
6887,112153,1959
6890,43740,1959
6893,34183,1958
6896,131511,1959
6898,153604,1959
6906,162309,1959
6907,109407,1959
6914,11730,1959
6920,173754,1959
6930,169515,1959
6932,183006,1959
6937,174690,1959
6942,4681,1959
6943,143800,1959
6944,37425,1959
6947,173960,1958
6948,40402,1959
6952,125460,1959
6956,145308,1958
6964,97937,1959
6966,144019,1959
6967,150419,1959
6981,126847,1959
6982,96906,1959
6984,146416,1959
6996,11044,1959
7004,182372,1959
7005,88760,1959
7009,146509,1959
7012,20269,1959
7020,180059,1959
7021,138796,1958
7027,17625,1966
7028,48581,1959
7029,50547,1959
7044,187235,1959
7045,178669,1959
7046,75902,1959
7047,130031,1959
7065,101722,1959
